run_id,contact_id,brief_id,level,level_name,stratum,gender,formal,gender_paired,ocean_source,lifecycle_stage,used_model,provider,model,tier,ok,skipped,error,rules_accepted,rules_failures,rules_unchecked,seconds,chars
smoke-terra-medium-ladder-c4,4,1,0,generic,linked,f,False,1,inferred,loyal_active,0,,,,1,,,0,"VOCATIVE_MISMATCH,REGISTER_MISMATCH",,0.0,330
smoke-terra-medium-ladder-c4,4,26,0,generic,linked,f,False,1,inferred,loyal_active,0,,,,1,,,0,"VOCATIVE_MISMATCH,REGISTER_MISMATCH",,0.0,105
smoke-terra-medium-ladder-c4,4,10,0,generic,linked,f,False,1,inferred,loyal_active,0,,,,1,,,0,"VOCATIVE_MISMATCH,REGISTER_MISMATCH",,0.0,341
smoke-terra-medium-ladder-c4,4,1,1,merge,linked,f,False,1,inferred,loyal_active,0,,,,1,,,1,,,0.0,341
smoke-terra-medium-ladder-c4,4,26,1,merge,linked,f,False,1,inferred,loyal_active,0,,,,1,,,1,,,0.0,115
smoke-terra-medium-ladder-c4,4,10,1,merge,linked,f,False,1,inferred,loyal_active,0,,,,1,,,1,,,0.0,351
smoke-terra-medium-ladder-c4,4,1,2,morphology,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,6.44,339
smoke-terra-medium-ladder-c4,4,26,2,morphology,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,5.65,117
smoke-terra-medium-ladder-c4,4,10,2,morphology,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,6.25,349
smoke-terra-medium-ladder-c4,4,1,3a,linguistic,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,6.58,251
smoke-terra-medium-ladder-c4,4,26,3b,purchases,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,5.37,116
smoke-terra-medium-ladder-c4,4,26,3c,reviews,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,6.13,117
smoke-terra-medium-ladder-c4,4,1,3d,role,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,6.5,340
smoke-terra-medium-ladder-c4,4,1,3,behaviour,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,5.7,266
smoke-terra-medium-ladder-c4,4,26,3,behaviour,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,4.23,89
smoke-terra-medium-ladder-c4,4,10,3,behaviour,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,7.72,358
smoke-terra-medium-ladder-c4,4,26,4,aspects,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,4.65,160
smoke-terra-medium-ladder-c4,4,1,5,psychographic,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,6.0,304
smoke-terra-medium-ladder-c4,4,26,5,psychographic,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,5.26,174
smoke-terra-medium-ladder-c4,4,10,5,psychographic,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,0,REGISTER_MISMATCH,,6.01,290
smoke-terra-medium-ladder-c4,4,26,6a,recommendations,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,6.68,177
smoke-terra-medium-ladder-c4,4,26,6b,topics,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,5.47,147
smoke-terra-medium-ladder-c4,4,10,6c,lifecycle,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,8.25,356
smoke-terra-medium-ladder-c4,4,26,6d,pricing,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,8.21,248
smoke-terra-medium-ladder-c4,4,1,6,hyper,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,7.54,257
smoke-terra-medium-ladder-c4,4,26,6,hyper,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,6.59,187
smoke-terra-medium-ladder-c4,4,10,6,hyper,linked,f,False,1,inferred,loyal_active,1,codex,gpt-5.6-terra,medium,1,,,1,,,6.85,349
